god bless,wow,perfect ,happy,unfortunately,worried,sorry ,late
216692,187748,189658,45291,25921,85107,15496,9290
216712,188382,189743,45654,26023,85119,15514,9313
216714,189373,191842,45722,26066,85954,15546,9315
216793,189631,191866,46416,26510,86032,15551,9370
217044,190413,191883,47140,26585,87402,15572,9412
217324,195682,192263,47237,26589,88515,15612,9426
217339,195709,192417,47374,26661,88654,15629,9436
217345,196717,192510,47378,27022,88916,15689,9437
217349,198968,192728,47418,27039,89021,15703,9438
217351,199333,192784,47429,27081,89028,15705,9452
217353,201187,192916,47446,27093,89195,15740,9454
217373,202783,192997,47796,27099,89897,15744,9457
217377,202921,193088,47838,27234,89985,15772,9475
217378,205011,193092,47889,27254,89991,15827,9533
217423,207882,193210,47906,27292,90306,15856,9591
217433,208521,193418,47933,27294,90434,15857,9624
217486,215394,193514,47954,27339,90473,15876,9627
217495,215577,193646,48383,27341,90682,15933,9637
217498,223106,194274,48384,27362,90729,15943,9640
217499,223484,194525,48637,27382,90837,15961,9650
217525,223502,195058,48891,27411,90850,15990,9651
217543,225498,195099,49095,27478,90876,16034,9652
217545,226087,195164,49103,27947,90885,16048,9689
217577,227737,195298,49436,28003,90913,16051,9692
217607,232426,196866,49456,28012,91198,16059,9699
217622,235932,197458,49530,28295,91208,16076,9712
217623,236840,197532,49574,28396,91228,16590,9717
217625,237780,197553,49587,28448,91355,16592,9750
217640,246294,197696,49799,28592,93326,16640,9753
217653,247453,197714,50412,28600,93911,16679,9757
217789,249854,197813,50499,28606,93973,16704,9759
217794,252573,198966,51201,28639,94068,16737,9808
217798,262321,199288,51492,29190,94099,16809,9814
217800,266191,199630,51551,29208,94485,16874,9817
217852,268573,200134,51630,29238,94489,16983,9821
217862,269899,200169,51686,29269,96418,17056,9846
217899,274354,200259,51821,29281,96462,17061,9868
217925,284685,200376,51973,29300,97297,17083,9879
218245,285552,201221,52159,29875,97299,17089,9880
218255,286586,201261,52360,30036,97342,17117,9918
218333,287967,201782,52557,30060,97909,17148,9919
218413,293771,202270,52721,30066,97944,17194,9924
218414,294430,202275,52739,30231,97963,17202,9931
218451,298059,202289,53009,30233,98055,17278,9932
218472,317911,202432,53174,30263,98108,17288,9937
218474,320050,202476,53353,30283,98134,17290,9941
218930,329151,202808,53436,30316,98145,17297,9942
218956,339805,202915,53498,30323,98160,17312,9970
218999,340056,203052,53639,30338,98218,17328,9973
219035,343302,203844,53711,30853,98370,17333,9990
219044,348588,205020,53715,30935,98652,17337,9991
219063,349632,205064,53716,30946,98721,18021,9994
219064,352163,206469,54186,31012,99046,18028,10008
219067,353122,206651,54275,31378,99061,18036,10010
219073,357168,206726,54298,31399,99183,18045,10011
219092,362646,206766,54943,31442,100215,18058,10020
219111,363175,208086,55034,31466,100528,18067,10035
219112,363312,208551,55170,31487,100546,18226,10044
219114,369573,208799,55274,31507,100566,18238,10048
219147,370330,209074,55364,31514,101375,18700,10049
219149,372767,209168,55433,31517,101417,18736,10059
219151,373949,209547,55434,31526,101418,18738,10087
219167,374102,209734,55525,31542,102120,19032,10193
219201,374736,209789,55532,31565,102908,19143,10197
219237,374929,211101,55591,31576,103056,19437,10204
219250,375406,213672,55592,31586,103506,19668,10206
219251,375606,215810,55639,31643,103560,19894,10228
219253,376055,216009,55649,32069,103694,19972,10233
219255,376072,216192,55651,32071,103780,19998,10235
219761,379194,216300,55653,32089,104575,20012,10242
219951,383482,217547,55654,32091,104639,20057,10243
220000,386669,217800,55675,32111,105519,20062,10246
220589,386957,217825,55676,32264,105528,20108,10255
220922,394293,218331,56134,32290,105582,20132,10263
220976,395124,219035,56160,32294,107678,20153,10271
220982,395922,219101,57320,32300,107903,20257,10273
221807,398635,219194,57510,32324,107926,20286,10274
221863,398947,219234,58315,32376,108231,20302,10275
221920,399646,219928,58415,32396,108331,20346,10292
222951,399647,220037,58528,32563,108957,20359,10684
223238,400776,220562,58670,32567,109117,20520,10686
223312,404232,220589,58674,32580,109648,20528,10688
223632,3018,222495,58851,32870,109660,20549,10696
223651,5082,223630,59152,32885,109840,20567,10743
223652,6821,225824,59233,32893,110482,20576,10753
223773,6859,226633,59237,32970,112215,20629,10789
224716,8643,226643,59361,32996,112820,20818,10822
224797,10237,226936,59609,33001,112924,20835,10837
224798,10691,227140,59765,33377,113227,20849,10842
225138,10985,227284,60347,33411,114055,21009,10844
225699,13805,227363,60647,33447,114647,21012,10867
225703,15144,228232,60945,33461,115382,21032,10886
225741,16566,228249,61038,33463,115402,21097,10930
225890,18996,228753,61774,33479,116847,21099,10940
225897,22891,228754,61806,33524,116920,21123,10941
226058,22917,229471,62609,33525,117031,21132,10944
226072,23334,229740,62830,33527,117056,21136,10949
226098,23576,229911,62941,33597,117092,21186,10950
226131,23829,229944,63030,33639,117098,21239,10958
226537,24076,230528,63790,33673,117101,21247,10963
226630,24086,231312,63831,33735,117162,21274,10975
226895,25554,232422,64176,33852,117513,21329,10986
226902,25691,232448,64189,34001,117551,21357,10998
226996,26736,233892,64276,34074,117552,21480,11024
227176,35241,234072,64747,34086,117648,21481,11037
227293,35992,234909,64868,34152,117796,21509,11053
227503,39175,234924,65618,34208,118029,21514,11055
227772,39517,235010,65756,34308,118130,21900,11061
228293,40433,236429,65817,34330,118188,21923,11095
228297,40584,236702,66434,34780,118269,21948,11100
228299,41221,236851,67660,34869,118415,21981,11397
228407,45149,236862,67715,34912,118642,22212,11410
228431,45283,237821,68104,34941,118765,22263,11452
228481,45376,237930,69886,34961,119009,22271,11453
228511,47483,237989,69894,35122,119480,22279,11497
228645,48037,238493,70164,35140,119484,22317,11502
228662,48597,238722,70376,35151,119656,22341,11508
228672,48601,239826,70436,35174,119809,22773,11519
228703,48624,240041,70480,35176,120407,22784,11521
228705,49438,240111,70558,35193,120470,22889,11530
228739,50075,241645,70676,35216,120519,22910,11535
228765,50428,242485,70710,35267,120608,22967,11545
228800,51252,243756,70726,35305,120658,23055,11552
229159,51744,244181,70727,35364,121639,23092,11556
229257,51947,245113,70824,35408,123031,23103,11560
229264,52263,245361,71435,35434,123364,23134,11566
229266,52289,246744,71773,35454,123380,23200,11574
233851,52298,246769,71864,35469,123522,23207,11577
235487,53268,249786,71886,35483,123567,23217,11694
235513,54420,249867,72012,35503,123589,23220,11704
235519,55368,250749,72304,35560,123851,23223,11713
235522,55370,250752,73335,35578,124052,23240,11798
235531,55622,251523,73355,36003,124125,23295,11818
235543,58662,252478,73513,36101,124223,23370,11823
235545,60643,253083,73632,36105,124264,23423,11854
235565,61023,253122,73827,36106,124480,23474,11871
238491,63690,253795,75036,36240,124481,23478,11873
240030,64872,253845,75567,36248,124530,23486,11901
241425,67693,254786,75697,36307,124624,23549,11908
245291,70726,255171,75760,36312,124674,23616,11913
246926,74984,255788,75761,36711,125635,23717,11980
247572,87789,255853,75767,36751,125685,23727,12351
247573,88832,255858,75768,36772,125702,23794,12376
249228,94076,256999,75790,36815,125733,23819,12399
249788,97755,257168,75806,36840,125773,23831,12401
250887,98339,258188,75898,36853,125785,23858,12408
253446,99474,258383,76020,36880,126593,23947,12434
255762,99476,261702,76262,36900,126625,23950,12486
257032,101484,261871,76349,36964,126801,23980,12497
257196,102782,262454,76486,37072,126857,23984,12514
261008,104641,264492,76518,37183,127138,23985,12515
262431,105451,264508,77627,37195,127143,24065,12534
262433,105665,265397,77708,37284,127167,24097,12538
263208,108941,266176,78100,37321,128678,24132,12539
263260,115189,267255,78948,37342,128758,24149,12542
263402,118101,267831,80663,37365,129081,24204,12552
263642,119632,268501,80702,37394,129435,24241,12560
263644,124486,268732,80722,37405,129935,24290,12598
265054,126888,270072,81050,37492,129982,24347,12603
266556,134017,271966,81072,37577,130024,24358,12611
266599,136057,272030,81142,37582,131148,24677,12616
267763,138557,272442,81817,37612,132324,24730,12617
267765,139816,272478,82148,37745,132456,24804,12618
271115,146099,273826,82607,37758,132517,24808,12637
278667,147713,275081,83661,37977,133014,24841,12647
280244,147775,275336,83686,37981,133061,24902,12648
280894,148020,275393,86041,38047,133233,24904,12649
284591,148626,276844,86122,38143,133776,24917,12655
285537,154151,277222,86190,38225,133797,24928,12659
286376,159102,277496,87059,38230,133815,24964,12689
286391,163417,278523,87811,38286,133879,25027,12698
286746,166042,278934,87914,38288,134066,25063,12708
291657,166131,279517,87922,38299,134329,25071,12775
293882,171107,279851,87952,38320,134395,25080,12777
295847,171882,280630,87954,38330,134861,25096,12781
295853,182876,282926,87958,38453,134948,25097,12790
296124,187748,283713,87971,38477,135089,25101,12791
297183,188382,283966,87992,38520,135128,25103,12812
298143,189373,283991,87994,38694,135138,25105,12813
299784,189631,284143,88019,39129,135240,25111,12828
300999,190413,284183,88021,39161,135469,25113,12830
303844,195682,284601,88066,39163,135559,25142,12835
303851,195709,284773,88116,39225,135572,25154,12838
304028,196717,286155,88120,39269,135706,25400,12888
304900,198968,286443,88273,39288,135764,25407,12901
305433,199333,286508,88494,39328,135802,25417,12928
306355,201187,286518,88552,39509,135874,25434,12930
306428,202783,289634,88610,39671,135893,25437,12932
306778,202921,291191,88671,39704,136010,25442,12936
309050,205011,291202,88673,39712,136028,25456,12938
311148,207882,292639,88676,39813,136081,25486,12945
312280,208521,292716,88678,39817,136220,25496,12955
312286,215394,293834,88685,39842,136334,25509,12958
312288,215577,294185,88687,39855,136347,25515,12969
312388,223106,295858,88691,40275,136421,25579,12973
312477,223484,296170,88694,40306,136891,25677,13253
315668,223502,297132,88697,40343,137052,25683,13268
317435,225498,297436,88707,40361,137514,25712,13270
317919,226087,299492,88719,40514,137629,25735,13271
318828,227737,299821,88847,40516,137653,25739,13273
319173,232426,300185,88863,40555,138629,25741,13286
321436,235932,301691,88871,40582,138685,25744,13288
322075,236840,301721,88873,40585,138808,25749,13291
322677,237780,303278,88984,40667,138821,25751,13299
322706,246294,304208,88998,41031,138834,25781,13306
325491,247453,304337,89012,41158,138921,25785,13307
326286,249854,304492,89013,41176,139066,25812,13329
326508,252573,304747,89886,41179,139658,25833,13346
328006,262321,304815,90334,41204,139786,25837,13370
328027,266191,304927,90429,41461,139985,25853,13388
328199,268573,305051,90567,41520,139998,25870,13391
329789,269899,305251,90585,41567,140080,25880,13395
330443,274354,305877,90596,41570,140085,25890,13396
334568,284685,306654,90644,41641,140582,25924,13408
335082,285552,306686,90646,41649,140959,25929,13423
339645,286586,306817,90647,41711,142954,25984,13441
340297,287967,307741,90766,41835,143307,25990,13443
340354,293771,311922,90800,42091,143408,25993,13506
340362,294430,312053,90831,42392,143605,26001,13525
340367,298059,312316,90837,42430,143621,26023,13560
343509,317911,313543,90984,42513,143892,26028,13575
344146,320050,315079,90985,43155,143900,26041,13584
347076,329151,315693,91299,43157,145120,26525,13609
350311,339805,316681,91326,43174,146157,26532,13611
351496,340056,316711,91454,43226,146217,26549,13613
352030,343302,316723,91465,43252,146803,26559,13619
352124,348588,316808,91486,43282,146879,26565,13624
352133,349632,316838,91488,43305,147761,26570,13633
352162,352163,318225,91627,43336,148013,26574,13638
353019,353122,318298,91697,43582,148096,26587,13669
353772,357168,318855,91730,43592,148173,26601,13670
353844,362646,319333,91784,43610,148202,26617,13682
354602,363175,319939,91809,43628,148303,26633,13691
362095,363312,320481,91810,43657,148545,26638,13695
363906,369573,321465,91819,43670,149539,26640,13702
370031,370330,324152,91822,43679,149555,26645,13718
370190,372767,325540,91841,43699,149719,26652,13725
370213,373949,326776,91843,43756,150848,26690,13727
371674,374102,327577,91845,43805,151433,26692,13728
372131,374736,327655,91877,43821,151599,26700,13744
374754,374929,328865,91890,43832,151827,26741,13751
375652,375406,329618,91897,43880,152094,27028,13759
375654,375606,330533,91912,43888,152173,27030,13782
376052,376055,331636,91940,44191,152225,27081,13790
376137,376072,333696,91946,44199,152229,27093,13791
376267,379194,335293,92721,44261,152235,27095,13793
379871,383482,336113,92753,44300,152346,27099,13805
383417,386669,337759,92759,44371,152358,27292,13811
386624,386957,338883,92794,44376,152651,27411,13815
386626,394293,339665,92953,44379,152885,27423,13838
386858,395124,341000,92963,44399,152900,27946,13847
390813,395922,342710,92986,44460,152936,28032,13849
395007,398635,343018,93006,45037,152978,28065,13862
395266,398947,343020,93118,45087,152982,28277,13869
402005,399646,343091,93268,45166,153195,28345,13873
403548,399647,343122,93932,45263,153564,28353,13877
5302,400776,344154,93940,45289,153750,28376,13881
9378,404232,344285,93994,45375,153807,28380,13897
9633,,344398,94052,45387,154247,28422,13902
9652,,344433,94109,45424,154263,28448,13904
9654,,344532,94126,45642,154556,28592,13905
15002,,344669,94136,45909,155773,28617,13923
17273,,344835,94139,45946,155774,28636,13929
18723,,345843,94476,45947,155819,28638,13941
19110,,345866,94739,45982,156314,28640,13944
21911,,345913,94839,45997,156411,28646,13947
23096,,346595,94850,46270,157021,29175,13952
27036,,348265,94898,46320,157326,29184,13956
27304,,348406,94910,46344,157346,29191,13965
29258,,352899,94986,46485,157350,29202,13989
32609,,353023,94999,46763,157359,29216,14108
35986,,354213,95091,46950,157405,29219,14120
38187,,354629,95144,46970,158182,29222,14121
38189,,354968,95156,47003,158413,29239,14130
39692,,355012,95174,47011,158497,29245,14142
41012,,355744,95469,47017,158531,29251,14148
43846,,356830,95545,47038,158926,29269,14171
44340,,356831,95616,47051,159047,29277,14175
44423,,356904,95996,47152,159124,29281,14503
44424,,361209,96053,47207,159446,29287,14504
44428,,361397,96065,47243,159451,29298,14509
44430,,361421,96187,47319,159643,29854,14515
45381,,362094,96257,47345,159647,29868,14538
47022,,362486,96322,47363,159841,29870,14546
49007,,362642,96398,47380,159920,29875,14562
49489,,363066,96529,47442,159921,29877,14582
49655,,363238,96541,47642,159936,29884,14592
49991,,364232,97393,47647,160263,30015,14610
50301,,365699,97421,47873,160338,30049,14618
52383,,367031,97655,47913,160354,30060,14643
53952,,367124,97713,47917,161187,30064,14648
54163,,367132,97877,47918,161276,30066,14665
54165,,367207,97885,47931,161277,30073,14670
54944,,367236,97896,48006,161739,30076,14682
55606,,367253,97903,48047,161965,30165,14708
55640,,367495,98062,48063,162358,30172,14711
56134,,367548,98072,48065,162411,30192,14716
56136,,368139,98084,48554,162443,30200,14732
60134,,368141,98105,48574,162461,30204,14736
60817,,368985,98195,48629,162808,30206,14739
61226,,369098,98233,48885,163065,30212,14740
61493,,370036,98266,48902,163069,30231,14750
62901,,370750,98317,48974,163144,30247,14753
63451,,371423,98340,49107,163172,30255,14758
64460,,371490,98363,49164,163182,30259,14773
64703,,372728,98395,49173,163448,30271,14780
65817,,373990,99051,49474,163761,30283,14784
71485,,374782,99062,49486,163828,30287,14796
71922,,375239,99246,49497,163866,30316,14811
73461,,375249,99363,49526,164094,30323,14814
73754,,375266,99444,49593,164102,30338,14815
74253,,375450,99448,49652,164923,30348,14823
74938,,375869,99468,49761,164947,30364,14825
75872,,376913,99473,49816,165209,30374,14826
75883,,377860,99476,50000,165408,30385,14829
75939,,377898,99487,50029,165922,30626,14838
